MAIN: player=0, deck=43, is_low=False, play_opts=3
MAIN: player=0, deck=43, is_low=False, play_opts=2
MAIN: player=0, deck=43, is_low=False, play_opts=0
MAIN: player=0, deck=42, is_low=False, play_opts=2
MAIN: player=0, deck=42, is_low=False, play_opts=2
MAIN: player=0, deck=36, is_low=False, play_opts=0
MAIN: player=0, deck=36, is_low=False, play_opts=0
MAIN: player=0, deck=36, is_low=False, play_opts=0
MAIN: player=0, deck=36, is_low=False, play_opts=0
MAIN: player=0, deck=46, is_low=False, play_opts=1
MAIN: player=0, deck=46, is_low=False, play_opts=1
MAIN: player=0, deck=46, is_low=False, play_opts=1
MAIN: player=0, deck=43, is_low=False, play_opts=3
MAIN: player=0, deck=43, is_low=False, play_opts=2
MAIN: player=0, deck=43, is_low=False, play_opts=1
MAIN: player=0, deck=43, is_low=False, play_opts=0
MAIN: player=0, deck=42, is_low=False, play_opts=3
MAIN: player=0, deck=42, is_low=False, play_opts=3
MAIN: player=0, deck=42, is_low=False, play_opts=3
MAIN: player=0, deck=42, is_low=False, play_opts=3
MAIN: player=0, deck=42, is_low=False, play_opts=3
MAIN: player=0, deck=39, is_low=False, play_opts=1
MAIN: player=0, deck=38, is_low=False, play_opts=0
MAIN: player=0, deck=38, is_low=False, play_opts=0
MAIN: player=0, deck=38, is_low=False, play_opts=0
MAIN: player=0, deck=37, is_low=False, play_opts=1
MAIN: player=0, deck=37, is_low=False, play_opts=1
MAIN: player=0, deck=37, is_low=False, play_opts=1
MAIN: player=0, deck=37, is_low=False, play_opts=1
MAIN: player=0, deck=30, is_low=False, play_opts=3
MAIN: player=0, deck=30, is_low=False, play_opts=2
MAIN: player=0, deck=29, is_low=False, play_opts=1
MAIN: player=0, deck=29, is_low=False, play_opts=0
MAIN: player=0, deck=28, is_low=False, play_opts=1
MAIN: player=0, deck=28, is_low=False, play_opts=1
MAIN: player=0, deck=46, is_low=False, play_opts=2
MAIN: player=0, deck=46, is_low=False, play_opts=2
MAIN: player=0, deck=46, is_low=False, play_opts=2
MAIN: player=0, deck=43, is_low=False, play_opts=4
MAIN: player=0, deck=43, is_low=False, play_opts=3
MAIN: player=0, deck=43, is_low=False, play_opts=3
MAIN: player=0, deck=43, is_low=False, play_opts=2
MAIN: player=0, deck=43, is_low=False, play_opts=1
MAIN: player=0, deck=43, is_low=False, play_opts=0
MAIN: player=0, deck=42, is_low=False, play_opts=2
MAIN: player=0, deck=42, is_low=False, play_opts=2
MAIN: player=0, deck=42, is_low=False, play_opts=2
MAIN: player=0, deck=42, is_low=False, play_opts=2
MAIN: player=0, deck=42, is_low=False, play_opts=2
MAIN: player=0, deck=35, is_low=False, play_opts=1
MAIN: player=0, deck=34, is_low=False, play_opts=0
MAIN: player=0, deck=33, is_low=False, play_opts=0
MAIN: player=0, deck=33, is_low=False, play_opts=2
MAIN: player=0, deck=33, is_low=False, play_opts=2
MAIN: player=0, deck=33, is_low=False, play_opts=2
MAIN: player=0, deck=32, is_low=False, play_opts=0
MAIN: player=0, deck=30, is_low=False, play_opts=2
MAIN: player=0, deck=30, is_low=False, play_opts=1
MAIN: player=0, deck=29, is_low=False, play_opts=0
MAIN: player=0, deck=28, is_low=False, play_opts=1
MAIN: player=0, deck=28, is_low=False, play_opts=1
MAIN: player=0, deck=28, is_low=False, play_opts=1
MAIN: player=0, deck=28, is_low=False, play_opts=1
MAIN: player=0, deck=28, is_low=False, play_opts=2
MAIN: player=0, deck=27, is_low=False, play_opts=1
MAIN: player=0, deck=25, is_low=False, play_opts=1
MAIN: player=0, deck=24, is_low=False, play_opts=0
MAIN: player=0, deck=23, is_low=False, play_opts=1
MAIN: player=0, deck=23, is_low=False, play_opts=2
MAIN: player=0, deck=23, is_low=False, play_opts=2
MAIN: player=0, deck=23, is_low=False, play_opts=2
MAIN: player=0, deck=22, is_low=False, play_opts=1
MAIN: player=0, deck=20, is_low=False, play_opts=2
MAIN: player=0, deck=19, is_low=False, play_opts=1
MAIN: player=0, deck=18, is_low=False, play_opts=0
MAIN: player=0, deck=17, is_low=False, play_opts=0
MAIN: player=0, deck=17, is_low=False, play_opts=0
MAIN: player=0, deck=17, is_low=False, play_opts=0
MAIN: player=0, deck=17, is_low=False, play_opts=0
MAIN: player=0, deck=16, is_low=False, play_opts=1
MAIN: player=0, deck=16, is_low=False, play_opts=1
MAIN: player=0, deck=16, is_low=False, play_opts=1
MAIN: player=0, deck=16, is_low=False, play_opts=1
MAIN: player=0, deck=13, is_low=False, play_opts=1
MAIN: player=0, deck=12, is_low=False, play_opts=0
MAIN: player=0, deck=11, is_low=False, play_opts=2
MAIN: player=0, deck=11, is_low=False, play_opts=2
MAIN: player=0, deck=11, is_low=False, play_opts=2
MAIN: player=0, deck=11, is_low=False, play_opts=2
MAIN: player=0, deck=9, is_low=False, play_opts=1
MAIN: player=0, deck=7, is_low=False, play_opts=2
MAIN: player=0, deck=5, is_low=True, play_opts=2
MAIN: player=0, deck=7, is_low=False, play_opts=1
MAIN: player=0, deck=7, is_low=False, play_opts=0
MAIN: player=0, deck=6, is_low=False, play_opts=2
MAIN: player=0, deck=6, is_low=False, play_opts=2
MAIN: player=0, deck=6, is_low=False, play_opts=2
MAIN: player=0, deck=6, is_low=False, play_opts=2
MAIN: player=0, deck=3, is_low=True, play_opts=1
MAIN: player=0, deck=3, is_low=True, play_opts=0
MAIN: player=0, deck=2, is_low=True, play_opts=3
MAIN: player=0, deck=2, is_low=True, play_opts=3
MAIN: player=0, deck=2, is_low=True, play_opts=1
MAIN: player=0, deck=0, is_low=True, play_opts=0
